x,y,hex
0,0,#000000
0,1,#000000
0,2,#000000
0,3,#000000
0,4,#000000
0,5,#000000
0,6,#000000
0,7,#000000
0,8,#000000
0,9,#000000
0,10,#000000
0,11,#000000
0,12,#000000
0,13,#036000
0,14,#000000
0,15,#000000
0,16,#000000
0,17,#000020
0,18,#000000
0,19,#000000
0,20,#000000
0,21,#000000
0,22,#000000
0,23,#000000
0,24,#090000
0,25,#000000
0,26,#000000
0,27,#003450
0,28,#000000
0,29,#000000
0,30,#000000
0,31,#000000
0,32,#000000
0,33,#930000
0,34,#000000
0,35,#000000
0,36,#000000
0,37,#000000
0,38,#000000
0,39,#000000
0,40,#000000
0,41,#000000
0,42,#000000
0,43,#000000
0,44,#000000
0,45,#000000
0,46,#000000
0,47,#000000
0,48,#000000
0,49,#000000
0,50,#000000
0,51,#000000
0,52,#000000
0,53,#000000
0,54,#000000
0,55,#000000
0,56,#000000
0,57,#000000
0,58,#000000
0,59,#000000
0,60,#000000
0,61,#000000
0,62,#000000
0,63,#000000
0,64,#000000
0,65,#000000
0,66,#000000
0,67,#000000
0,68,#000000
0,69,#000000
0,70,#000000
0,71,#000000
0,72,#000000
0,73,#000000
0,74,#000000
0,75,#000000
0,76,#000000
0,77,#000000
0,78,#000000
0,79,#000000
1,0,#000000
1,1,#000000
1,2,#000000
1,3,#000000
1,4,#000000
1,5,#000000
1,6,#000000
1,7,#000000
1,8,#000000
1,9,#000000
1,10,#000000
1,11,#000000
1,12,#000000
1,13,#000000
1,14,#000000
1,15,#000000
1,16,#000000
1,17,#000000
1,18,#000000
1,19,#000000
1,20,#000000
1,21,#000000
1,22,#000000
1,23,#000000
1,24,#000000
1,25,#000000
1,26,#000000
1,27,#000000
1,28,#000000
1,29,#000000
1,30,#000000
1,31,#000000
1,32,#000000
1,33,#000000
1,34,#000000
1,35,#000000
1,36,#000000
1,37,#000000
1,38,#000000
1,39,#000000
1,40,#000000
1,41,#000000
1,42,#000000
1,43,#000000
1,44,#000000
1,45,#000000
1,46,#000000
1,47,#000000
1,48,#000000
1,49,#000000
1,50,#000000
1,51,#000000
1,52,#000000
1,53,#000000
1,54,#000000
1,55,#000000
1,56,#000000
1,57,#000000
1,58,#000000
1,59,#000000
1,60,#000000
1,61,#000000
1,62,#000000
1,63,#000000
1,64,#000000
1,65,#000000
1,66,#000000
1,67,#000000
1,68,#000000
1,69,#000000
1,70,#000000
1,71,#000000
1,72,#000000
1,73,#000000
1,74,#000000
1,75,#000000
1,76,#000000
1,77,#000000
1,78,#000000
1,79,#000000
2,0,#000000
2,1,#000000
2,2,#000000
2,3,#000000
2,4,#000000
2,5,#000000
2,6,#000000
2,7,#000000
2,8,#000000
2,9,#000000
2,10,#000000
2,11,#000000
2,12,#000000
2,13,#000000
2,14,#000000
2,15,#000000
2,16,#000000
2,17,#000000
2,18,#000000
2,19,#000000
2,20,#000000
2,21,#000000
2,22,#000000
2,23,#000000
2,24,#000000
2,25,#000000
2,26,#000000
2,27,#000000
2,28,#000000
2,29,#000000
2,30,#000000
2,31,#000000
2,32,#000000
2,33,#000000
2,34,#000000
2,35,#000000
2,36,#000000
2,37,#000000
2,38,#000000
2,39,#000000
2,40,#000000
2,41,#000000
2,42,#000000
2,43,#000000
2,44,#000000
2,45,#000000
2,46,#000000
2,47,#000000
2,48,#000000
2,49,#000000
2,50,#000000
2,51,#000000
2,52,#000000
2,53,#000000
2,54,#000000
2,55,#000000
2,56,#000000
2,57,#000000
2,58,#000000
2,59,#000000
2,60,#000000
2,61,#000000
2,62,#000000
2,63,#000000
2,64,#000000
2,65,#000000
2,66,#000000
2,67,#000000
2,68,#000000
2,69,#000000
2,70,#000000
2,71,#000000
2,72,#000000
2,73,#000000
2,74,#000000
2,75,#000000
2,76,#000000
2,77,#000000
2,78,#000000
2,79,#000000
3,0,#000000
3,1,#000000
3,2,#000000
3,3,#000000
3,4,#000000
3,5,#000000
3,6,#000000
3,7,#000000
3,8,#000000
3,9,#000000
3,10,#000000
3,11,#000000
3,12,#000000
3,13,#000000
3,14,#000000
3,15,#000000
3,16,#000000
3,17,#000000
3,18,#000000
3,19,#000000
3,20,#000000
3,21,#000000
3,22,#000000
3,23,#000000
3,24,#000000
3,25,#000000
3,26,#000000
3,27,#000000
3,28,#000000
3,29,#000000
3,30,#000000
3,31,#000000
3,32,#000000
3,33,#000000
3,34,#000000
3,35,#000000
3,36,#000000
3,37,#000000
3,38,#000000
3,39,#000000
3,40,#000000
3,41,#000000
3,42,#000000
3,43,#000000
3,44,#000000
3,45,#000000
3,46,#000000
3,47,#000000
3,48,#000000
3,49,#000000
3,50,#000000
3,51,#000000
3,52,#000000
3,53,#000000
3,54,#000000
3,55,#000000
3,56,#000000
3,57,#000000
3,58,#000000
3,59,#000000
3,60,#000000
3,61,#000000
3,62,#000000
3,63,#000000
3,64,#000000
3,65,#000000
3,66,#000000
3,67,#000000
3,68,#000000
3,69,#000000
3,70,#000000
3,71,#000000
3,72,#000000
3,73,#000000
3,74,#000000
3,75,#000000
3,76,#000000
3,77,#000000
3,78,#000000
3,79,#000000
4,0,#000000
4,1,#000000
4,2,#000000
4,3,#000000
4,4,#000000
4,5,#000000
4,6,#000000
4,7,#000000
4,8,#000000
4,9,#000000
4,10,#000000
4,11,#000000
4,12,#000000
4,13,#000000
4,14,#000000
4,15,#000000
4,16,#000000
4,17,#000000
4,18,#000000
4,19,#000000
4,20,#000000
4,21,#000000
4,22,#000000
4,23,#000000
4,24,#000000
4,25,#000000
4,26,#000000
4,27,#000000
4,28,#000000
4,29,#000000
4,30,#000000
4,31,#000000
4,32,#000000
4,33,#000000
4,34,#000000
4,35,#000000
4,36,#000000
4,37,#000000
4,38,#000000
